iter,acc,nmi,ari,L,Lc,Lr
13580,0.65693,0.06606,0.0979,0.01161,0.05254,0.00635
13720,0.6575,0.06677,0.09866,0.00583,0.01744,0.00409
13860,0.65907,0.06844,0.1007,0.00481,0.00733,0.00408
14000,0.66323,0.07398,0.10626,0.01131,0.04572,0.00674
14140,0.66223,0.0731,0.10496,0.00417,0.00558,0.00362
14280,0.66337,0.07409,0.10645,0.00548,0.00729,0.00476
14420,0.66151,0.07287,0.10407,0.00513,0.00762,0.00437
14560,0.66036,0.0749,0.10272,0.02157,0.04929,0.01664
14700,0.6595,0.07401,0.10162,0.00579,0.00613,0.00517
14840,0.65979,0.07428,0.10199,0.00529,0.00571,0.00472
